,0
0,0.65
1,0.25
2,0.65
3,0.35
4,0.35
5,0.45
6,0.25
7,0.75
8,0.35
9,0.3
10,0.35
11,0.35
12,0.45
13,0.65
14,0.65
15,0.65
16,0.65
17,0.35
18,0.65
19,0.25
20,0.75
21,0.35
22,0.35
23,0.25
24,0.35
25,0.3
26,0.2
27,0.65
28,0.3
29,0.35
30,0.25
31,0.35
32,0.65
33,0.75
34,0.1
35,0.45
36,0.45
37,0.45
38,0.35
39,0.35
40,0.75
41,0.45
42,0.35
43,0.35
44,0.35
45,0.25
46,0.35
47,0.65
48,0.2
49,0.35
50,0.75
51,0.65
52,0.7
53,0.4
54,0.65
55,0.6
56,0.45
57,0.75
58,0.25
59,0.65
60,0.35
61,0.35
62,0.35
63,0.35
64,0.65
65,0.65
66,0.45
67,0.3
68,0.3
69,0.25
70,0.35
71,0.35
72,0.3
73,0.35
74,0.35
75,0.35
76,0.65
77,0.65
78,0.35
79,0.35
80,0.35
81,0.35
82,0.65
83,0.3
84,0.65
85,0.25
86,0.65
87,0.25
88,0.25
89,0.25
90,0.35
91,0.35
92,0.25
93,0.35
94,0.35
95,0.2
96,0.65
97,0.65
98,0.35
99,0.35
