,0
0,0.65
1,0.35
2,0.3
3,0.45
4,0.35
5,0.35
6,0.3
7,0.75
8,0.2
9,0.35
10,0.35
11,0.25
12,0.25
13,0.35
14,0.2
15,0.35
16,0.25
17,0.25
18,0.45
19,0.5
20,0.45
21,0.45
22,0.2
23,0.35
24,0.35
25,0.35
26,0.25
27,0.35
28,0.45
29,0.25
30,0.2
31,0.45
32,0.35
33,0.35
34,0.25
35,0.25
36,0.35
37,0.65
38,0.35
39,0.65
40,0.3
41,0.45
42,0.25
43,0.35
44,0.45
45,0.25
46,0.65
47,0.45
48,0.45
49,0.35
50,0.45
51,0.35
52,0.3
53,0.2
54,0.35
55,0.65
56,0.35
57,0.35
58,0.2
59,0.35
60,0.35
61,0.35
62,0.35
63,0.45
64,0.35
65,0.25
66,0.65
67,0.25
68,0.45
69,0.45
70,0.35
71,0.35
72,0.45
73,0.25
74,0.25
75,0.3
76,0.2
77,0.25
78,0.35
79,0.45
80,0.35
81,0.35
82,0.2
83,0.35
84,0.35
85,0.35
86,0.35
87,0.15
88,0.25
89,0.3
90,0.2
91,0.45
92,0.35
93,0.35
94,0.35
95,0.4
96,0.35
97,0.35
98,0.35
99,0.35
