,0
0,0.35
1,0.35
2,0.2
3,0.35
4,0.3
5,0.25
6,0.2
7,0.3
8,0.3
9,0.45
10,0.45
11,0.25
12,0.35
13,0.35
14,0.2
15,0.35
16,0.35
17,0.25
18,0.25
19,0.65
20,0.35
21,0.35
22,0.35
23,0.35
24,0.35
25,0.35
26,0.35
27,0.3
28,0.25
29,0.35
30,0.2
31,0.35
32,0.35
33,0.4
34,0.35
35,0.2
36,0.35
37,0.45
38,0.35
39,0.65
40,0.45
41,0.35
42,0.35
43,0.35
44,0.35
45,0.25
46,0.35
47,0.25
48,0.35
49,0.4
50,0.35
51,0.35
52,0.2
53,0.4
54,0.35
55,0.35
56,0.3
57,0.35
58,0.35
59,0.25
60,0.25
61,0.2
62,0.45
63,0.35
64,0.35
65,0.45
66,0.65
67,0.25
68,0.35
69,0.45
70,0.45
71,0.35
72,0.35
73,0.4
74,0.35
75,0.25
76,0.25
77,0.3
78,0.3
79,0.35
80,0.3
81,0.35
82,0.35
83,0.35
84,0.35
85,0.45
86,0.35
87,0.25
88,0.35
89,0.15
90,0.3
91,0.45
92,0.3
93,0.2
94,0.35
95,0.35
96,0.25
97,0.35
98,0.35
99,0.25
