,0
0,0.75
1,0.3
2,0.65
3,0.25
4,0.75
5,0.65
6,0.35
7,0.35
8,0.45
9,0.35
10,0.35
11,0.4
12,0.35
13,0.35
14,0.35
15,0.65
16,0.75
17,0.65
18,0.35
19,0.35
20,0.35
21,0.25
22,0.45
23,0.25
24,0.35
25,0.2
26,0.45
27,0.2
28,0.35
29,0.35
30,0.25
31,0.45
32,0.35
33,0.35
34,0.35
35,0.65
36,0.45
37,0.45
38,0.75
39,0.35
40,0.45
41,0.65
42,0.4
43,0.45
44,0.35
45,0.45
46,0.25
47,0.45
48,0.35
49,0.35
50,0.78
51,0.65
52,0.65
53,0.75
54,0.75
55,0.78
56,0.35
57,0.45
58,0.35
59,0.6
60,0.25
61,0.4
62,0.3
63,0.45
64,0.65
65,0.35
66,0.35
67,0.35
68,0.35
69,0.75
70,0.2
71,0.35
72,0.25
73,0.35
74,0.35
75,0.65
76,0.75
77,0.6
78,0.25
79,0.35
80,0.35
81,0.3
82,0.45
83,0.3
84,0.75
85,0.65
86,0.75
87,0.25
88,0.65
89,0.3
90,0.45
91,0.65
92,0.35
93,0.3
94,0.75
95,0.75
96,0.75
97,0.4
98,0.35
99,0.35
