,0
0,0.35
1,0.25
2,0.3
3,0.45
4,0.25
5,0.25
6,0.35
7,0.2
8,0.3
9,0.35
10,0.35
11,0.35
12,0.25
13,0.45
14,0.25
15,0.25
16,0.2
17,0.25
18,0.25
19,0.35
20,0.15
21,0.25
22,0.35
23,0.3
24,0.25
25,0.25
26,0.3
27,0.35
28,0.2
29,0.25
30,0.25
31,0.45
32,0.25
33,0.25
34,0.3
35,0.25
36,0.35
37,0.35
38,0.35
39,0.3
40,0.35
41,0.2
42,0.2
43,0.35
44,0.2
45,0.3
46,0.35
47,0.35
48,0.25
49,0.2
50,0.35
51,0.25
52,0.15
53,0.35
54,0.15
55,0.25
56,0.3
57,0.35
58,0.3
59,0.35
60,0.25
61,0.2
62,0.3
63,0.25
64,0.35
65,0.35
66,0.25
67,0.45
68,0.2
69,0.6
70,0.3
71,0.25
72,0.3
73,0.2
74,0.25
75,0.25
76,0.2
77,0.2
78,0.25
79,0.25
80,0.3
81,0.45
82,0.25
83,0.15
84,0.25
85,0.3
86,0.3
87,0.2
88,0.35
89,0.25
90,0.2
91,0.35
92,0.25
93,0.3
94,0.35
95,0.35
96,0.3
97,0.25
98,0.2
99,0.25
