,0
0,0.25
1,0.3
2,0.3
3,0.35
4,0.35
5,0.25
6,0.25
7,0.2
8,0.35
9,0.35
10,0.35
11,0.45
12,0.4
13,0.35
14,0.35
15,0.35
16,0.25
17,0.3
18,0.2
19,0.35
20,0.15
21,0.35
22,0.6
23,0.15
24,0.2
25,0.35
26,0.3
27,0.15
28,0.25
29,0.25
30,0.15
31,0.35
32,0.35
33,0.3
34,0.45
35,0.25
36,0.25
37,0.25
38,0.35
39,0.3
40,0.35
41,0.45
42,0.25
43,0.25
44,0.35
45,0.3
46,0.35
47,0.4
48,0.2
49,0.35
50,0.25
51,0.25
52,0.15
53,0.3
54,0.25
55,0.3
56,0.25
57,0.35
58,0.3
59,0.35
60,0.2
61,0.35
62,0.25
63,0.35
64,0.45
65,0.25
66,0.35
67,0.35
68,0.4
69,0.35
70,0.35
71,0.25
72,0.35
73,0.25
74,0.35
75,0.35
76,0.35
77,0.25
78,0.2
79,0.3
80,0.3
81,0.35
82,0.35
83,0.35
84,0.3
85,0.35
86,0.3
87,0.2
88,0.15
89,0.25
90,0.25
91,0.35
92,0.2
93,0.35
94,0.2
95,0.25
96,0.2
97,0.35
98,0.25
99,0.3
