,0
0,0.35
1,0.65
2,0.75
3,0.68
4,0.75
5,0.6
6,0.75
7,0.65
8,0.45
9,0.65
10,0.65
11,0.65
12,0.65
13,0.68
14,0.75
15,0.72
16,0.65
17,0.78
18,0.75
19,0.75
20,0.35
21,0.45
22,0.75
23,0.65
24,0.65
25,0.75
26,0.65
27,0.75
28,0.65
29,0.65
30,0.75
31,0.65
32,0.75
33,0.75
34,0.65
35,0.6
36,0.35
37,0.75
38,0.7
39,0.72
40,0.65
41,0.65
42,0.65
43,0.65
44,0.65
45,0.75
46,0.75
47,0.65
48,0.75
49,0.45
50,0.65
51,0.85
52,0.75
53,0.75
54,0.65
55,0.65
56,0.75
57,0.75
58,0.7
59,0.78
60,0.75
61,0.65
62,0.65
63,0.65
64,0.7
65,0.75
66,0.65
67,0.75
68,0.65
69,0.675
70,0.75
71,0.75
72,0.75
73,0.7
74,0.65
75,0.75
76,0.65
77,0.75
78,0.65
79,0.65
80,0.75
81,0.7
82,0.78
83,0.75
84,0.65
85,0.65
86,0.65
87,0.75
88,0.725
89,0.65
90,0.65
91,0.65
92,0.45
93,0.45
94,0.75
95,0.75
96,0.65
97,0.75
98,0.75
99,0.75
