,0
0,0.75
1,0.75
2,0.75
3,0.45
4,0.75
5,0.75
6,0.65
7,0.75
8,0.78
9,0.75
10,0.75
11,0.75
12,0.75
13,0.75
14,0.75
15,0.75
16,0.75
17,0.65
18,0.75
19,0.725
20,0.75
21,0.78
22,0.75
23,0.65
24,0.75
25,0.75
26,0.78
27,0.75
28,0.75
29,0.65
30,0.7
31,0.65
32,0.75
33,0.65
34,0.75
35,0.75
36,0.75
37,0.4
38,0.75
39,0.72
40,0.75
41,0.75
42,0.75
43,0.75
44,0.7
45,0.75
46,0.75
47,0.75
48,0.7
49,0.65
50,0.75
51,0.65
52,0.35
53,0.75
54,0.6
55,0.675
56,0.75
57,0.75
58,0.75
59,0.75
60,0.75
61,0.75
62,0.75
63,0.75
64,0.75
65,0.75
66,0.65
67,0.75
68,0.75
69,0.75
70,0.75
71,0.45
72,0.75
73,0.75
74,0.75
75,0.675
76,0.75
77,0.65
78,0.65
79,0.65
80,0.65
81,0.75
82,0.72
83,0.65
84,0.85
85,0.75
86,0.875
87,0.65
88,0.85
89,0.65
90,0.75
91,0.65
92,0.75
93,0.75
94,0.75
95,0.75
96,0.78
97,0.65
98,0.65
99,0.65
