,0
0,0.75
1,0.75
2,0.75
3,0.75
4,0.65
5,0.75
6,0.75
7,0.675
8,0.65
9,0.75
10,0.65
11,0.78
12,0.75
13,0.75
14,0.75
15,0.75
16,0.65
17,0.75
18,0.7
19,0.65
20,0.65
21,0.75
22,0.75
23,0.675
24,0.75
25,0.65
26,0.72
27,0.78
28,0.65
29,0.68
30,0.65
31,0.65
32,0.75
33,0.75
34,0.75
35,0.72
36,0.75
37,0.78
38,0.75
39,0.75
40,0.75
41,0.75
42,0.75
43,0.75
44,0.75
45,0.75
46,0.75
47,0.75
48,0.75
49,0.75
50,0.65
51,0.75
52,0.75
53,0.85
54,0.85
55,0.75
56,0.75
57,0.65
58,0.72
59,0.78
60,0.75
61,0.75
62,0.75
63,0.75
64,0.75
65,0.65
66,0.75
67,0.675
68,0.75
69,0.65
70,0.75
71,0.75
72,0.72
73,0.65
74,0.75
75,0.75
76,0.65
77,0.65
78,0.65
79,0.75
80,0.75
81,0.78
82,0.75
83,0.75
84,0.65
85,0.75
86,0.7
87,0.65
88,0.75
89,0.65
90,0.75
91,0.75
92,0.78
93,0.725
94,0.65
95,0.75
96,0.75
97,0.75
98,0.75
99,0.75
