,0
0,0.2
1,0.35
2,0.1
3,0.25
4,0.75
5,0.35
6,0.25
7,0.7
8,0.35
9,0.1
10,0.45
11,0.35
12,0.2
13,0.75
14,0.35
15,0.35
16,0.35
17,0.35
18,0.75
19,0.25
20,0.35
21,0.65
22,0.3
23,0.25
24,0.1
25,0.2
26,0.35
27,0.45
28,0.35
29,0.75
30,0.75
31,0.35
32,0.35
33,0.25
34,0.65
35,0.65
36,0.2
37,0.25
38,0.35
39,0.25
40,0.25
41,0.2
42,0.1
43,0.15
44,0.1
45,0.45
46,0.25
47,0.35
48,0.35
49,0.2
50,0.35
51,0.25
52,0.45
53,0.35
54,0.2
55,0.25
56,0.35
57,0.15
58,0.35
59,0.35
60,0.45
61,0.65
62,0.25
63,0.25
64,0.25
65,0.3
66,0.2
67,0.75
68,0.725
69,0.75
70,0.2
71,0.4
72,0.65
73,0.65
74,0.35
75,0.45
76,0.45
77,0.25
78,0.45
79,0.35
80,0.15
81,0.25
82,0.15
83,0.15
84,0.35
85,0.35
86,0.1
87,0.3
88,0.65
89,0.15
90,0.35
91,0.45
92,0.15
93,0.25
94,0.6
95,0.2
96,0.25
97,0.45
98,0.15
99,0.65
