,0
0,0.65
1,0.65
2,0.45
3,0.75
4,0.65
5,0.0
6,0.7
7,0.65
8,0.0
9,0.65
10,0.0
11,0.1
12,0.75
13,0.65
14,0.3
15,0.75
16,0.75
17,0.65
18,0.65
19,0.35
20,0.75
21,0.75
22,0.75
23,0.35
24,0.25
25,0.65
26,0.72
27,0.75
28,0.65
29,0.45
30,0.45
31,0.1
32,0.1
33,0.85
34,0.75
35,0.75
36,0.75
37,0.1
38,0.75
39,0.6
40,0.7
41,0.45
42,0.65
43,0.675
44,0.35
45,0.35
46,0.45
47,0.2
48,0.0
49,0.65
50,0.45
51,0.72
52,0.1
53,0.7
54,0.675
55,0.45
56,0.72
57,0.35
58,0.0
59,0.2
60,0.25
61,0.35
62,0.2
63,0.1
64,0.675
65,0.75
66,0.75
67,0.35
68,0.75
69,0.75
70,0.65
71,0.75
72,0.75
73,0.75
74,0.75
75,0.35
76,0.0
77,0.15
78,0.65
79,0.45
80,0.75
81,0.65
82,0.6
83,0.65
84,0.75
85,0.1
86,0.2
87,0.75
88,0.65
89,0.25
90,0.7
91,0.75
92,0.35
93,0.65
94,0.2
95,0.65
96,0.2
97,0.675
98,0.1
99,0.75
