,0
0,0.65
1,0.65
2,0.75
3,0.75
4,0.65
5,0.75
6,0.75
7,0.75
8,0.65
9,0.65
10,0.75
11,0.65
12,0.45
13,0.35
14,0.65
15,0.35
16,0.45
17,0.4
18,0.65
19,0.65
20,0.65
21,0.65
22,0.45
23,0.75
24,0.35
25,0.6
26,0.65
27,0.65
28,0.65
29,0.65
30,0.65
31,0.6
32,0.45
33,0.65
34,0.75
35,0.65
36,0.75
37,0.65
38,0.75
39,0.35
40,0.65
41,0.35
42,0.65
43,0.45
44,0.65
45,0.65
46,0.45
47,0.65
48,0.7
49,0.65
50,0.65
51,0.45
52,0.65
53,0.45
54,0.65
55,0.75
56,0.45
57,0.65
58,0.35
59,0.35
60,0.65
61,0.65
62,0.35
63,0.65
64,0.75
65,0.65
66,0.45
67,0.45
68,0.65
69,0.75
70,0.45
71,0.65
72,0.35
73,0.75
74,0.72
75,0.35
76,0.45
77,0.65
78,0.75
79,0.35
80,0.75
81,0.65
82,0.65
83,0.4
84,0.72
85,0.75
86,0.7
87,0.75
88,0.65
89,0.25
90,0.75
91,0.25
92,0.35
93,0.75
94,0.45
95,0.65
96,0.25
97,0.75
98,0.65
99,0.65
