FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
757	7578471	1787080
1279	12792729	1415720
756	7568165	1832160
1277	12771656	3356120
1279	12791248	2170040
0	45	2829160
1278	12786226	2259560
1278	12780803	2640000
0	50	2335960
3043	30433064	2141280
3043	30433545	6569410
1279	12795501	2661440
0	31	2479240
1279	12790108	2809360
0	42	0
3050	30507181	2367880
1278	12782362	0
0	47	1619280
3043	30438137	2672960
3043	30437248	2734040
3043	30436390	2658480
3042	30426161	0
671	6717025	64519
3050	30500207	2340120
3048	30483071	2399040
671	6717778	2346320
698	6987758	2382440
0	55	1931600
689	6896456	0
1278	12783196	1103120
3045	30455025	1832800
698	6989945	2175880
1278	12782044	2675320
3051	30516648	2312240
687	6870597	48040
0	51	6742980
3046	30463926	2636280
1277	12776889	45480
1279	12790357	2311120
3042	30426763	2713920
757	7571639	1815320
1275	12753257	1860240
1277	12777610	2240440
3043	30431078	0
3042	30425585	0
0	49	6414940
3042	30427214	2355960
3043	30431199	2412280
671	6710620	1107960
3044	30440621	6748480
0	52	2844160
3045	30450392	0
1279	12794242	1533920
3045	30454782	2344120
3045	30459906	2741480
1278	12787921	2130040
758	7584062	1688480
756	7567913	0
756	7564699	2220040
666	6665778	1877440
1279	12790065	0
3045	30450271	2617680
3044	30442335	0
3044	30449827	1977760
3041	30413673	2912680
1278	12788174	0
0	52	2128800
757	7570862	2577360
1277	12777895	1136240
3043	30438817	2685880
3042	30420513	0
3042	30425978	0
665	6656187	0
1278	12782368	0
3043	30431106	0
3043	30434512	2147320
1278	12786455	3030440
3043	30434750	0
1278	12781238	0
0	51	6392160
1278	12788816	0
3043	30435100	2262120
3043	30433941	2285080
756	7560036	0
3042	30429133	0
699	6991692	2088439
3043	30434507	2076480
3042	30421434	2164800
669	6698856	2589240
3048	30484211	2325760
3048	30480174	2222280
3050	30502896	2949040
3049	30495098	2644480
3050	30501623	2545640
1278	12780033	2177000
1277	12778936	2558160
1278	12782723	2314040
3040	30403230	2555400
1275	12757441	2109680
690	6904516	17432360
