FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
742	7426734	2088439
1110	11107069	0
1110	11107456	2415440
1111	11110665	0
740	7407072	1731040
742	7422340	2366480
741	7416285	1956280
1111	11110382	952720
740	7405779	2494560
741	7412849	0
741	7418930	2475240
741	7412183	2059520
0	38	2110000
0	64	2319360
0	49	0
740	7401730	1846280
740	7408947	0
731	7319892	2093119
1111	11113171	2051880
1110	11106912	2133600
0	51	2725960
1108	11083082	2918240
1111	11114762	2572000
1111	11113690	0
1110	11100496	0
742	7420713	0
1111	11116960	2956320
740	7403022	2426560
0	53	2496400
742	7422808	2547120
1109	11096439	0
740	7401031	64080
741	7419334	2385920
740	7409737	2266520
741	7410205	2970760
734	7349013	2249960
740	7408511	2667600
1110	11109809	2367080
740	7400085	2313960
1110	11109276	2949240
741	7411086	2081840
1110	11100460	2439240
741	7411849	33600
1110	11109914	1586520
742	7420183	3288320
0	44	2492880
1110	11101277	2800920
1110	11109871	2507880
1111	11110347	2953720
739	7398736	2897920
1110	11109611	2681960
1110	11101045	1202920
741	7411981	2394480
1110	11105143	2340920
740	7406465	2848000
1111	11110427	1972880
742	7425908	2513160
741	7410519	2863440
1111	11116094	2755240
741	7413296	3930360
742	7420455	2476000
1110	11101901	0
1110	11107523	1991040
1110	11107996	1309160
738	7388162	0
0	52	40400
1109	11098560	36800
740	7407629	0
0	56	2454560
741	7413542	2789640
1109	11098754	36240
738	7389606	3262160
739	7397077	2130800
740	7404266	0
1110	11105980	0
1111	11111774	2862360
0	47	2721960
740	7404460	47400
740	7406745	2442200
1110	11101810	2108440
1110	11107509	40240
741	7415522	1973360
741	7411490	2454720
741	7414054	3240680
740	7402581	2208240
1110	11108950	2976400
741	7417371	2804680
739	7399595	3248600
1110	11100063	2559640
741	7414945	2875200
1110	11107431	2202560
739	7399960	0
739	7394660	11120
0	28	5271560
742	7425754	751132540
0	17	46360
1108	11085648	627840
734	7341928	0
735	7353209	2031640
1109	11099546	19107080
