FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
40	409195	0
41	413868	0
41	412816	0
41	411112	0
41	412603	0
41	411015	1010040
41	415409	0
41	413593	0
41	410283	0
41	410989	0
40	408983	0
41	410570	0
41	412076	0
41	412933	0
41	413179	0
41	413577	0
41	411599	1149480
40	403515	0
41	410952	0
41	414044	0
41	411643	0
40	405370	0
41	412692	0
41	412587	0
40	406760	564080
41	412917	0
41	412265	0
41	410325	0
41	412217	0
40	407546	0
41	412015	0
41	411504	0
41	410574	0
40	408036	0
40	407708	0
40	406266	36840
41	413040	0
41	411596	0
41	410433	0
41	412994	0
41	411263	32280
40	407518	0
41	412109	571240
41	414039	0
41	410448	0
41	411006	570360
41	411547	43000
41	413124	75040
41	413159	0
41	411302	0
41	413823	82000
40	407696	543040
41	410084	0
41	411818	0
41	410223	0
41	410379	0
40	409323	0
41	411409	77080
40	408375	0
41	411908	61200
40	407348	0
41	412144	0
40	408487	0
40	408905	0
41	412930	544240
41	412760	0
41	410929	0
41	412665	541960
41	411432	47080
41	414575	0
40	407645	0
40	408265	0
40	408712	0
41	414235	0
41	411210	0
41	412850	0
41	413844	0
41	410294	0
41	411220	0
40	408053	48520
41	412196	0
40	409577	0
0	48	71960
40	405373	0
41	413565	0
40	408606	0
41	413830	0
40	405040	0
41	410701	0
40	408925	0
41	410368	0
40	409474	0
40	409961	0
41	410367	40800
40	408727	693280
41	411876	0
41	412840	65920
40	409550	0
40	402640	0
41	413940	17904640
