CpuTime (ms)	CpuTime (ticks)
151	1513976
136	1365648
135	1351990
135	1353166
136	1361728
135	1356431
140	1406785
136	1360635
139	1395928
136	1361220
135	1352469
135	1356250
136	1363729
135	1355990
135	1350159
135	1358364
135	1352487
133	1339345
135	1353700
135	1351232
135	1356152
139	1398505
135	1351906
136	1365896
135	1359026
135	1352212
135	1355269
135	1352139
135	1354237
135	1356571
135	1351994
135	1352758
134	1341926
135	1356613
135	1358016
135	1350952
135	1358167
135	1353127
135	1355957
137	1374671
136	1360989
135	1351100
135	1352543
135	1351671
139	1399836
138	1389147
135	1351696
138	1384125
135	1359609
135	1354190
134	1349335
141	1410057
135	1357288
135	1356917
135	1351158
135	1354135
134	1349143
135	1356647
137	1375882
138	1389076
135	1358040
135	1355571
135	1354420
134	1348660
135	1352680
135	1356466
135	1356632
141	1412485
134	1349054
135	1352346
135	1358647
135	1351316
141	1411787
136	1365437
135	1355745
135	1353207
140	1400208
134	1349356
134	1348310
136	1361513
134	1348940
135	1356167
135	1356437
136	1361145
135	1352708
134	1349791
135	1351185
135	1357867
141	1418968
134	1348558
135	1357592
134	1347463
135	1351597
140	1407157
135	1350840
135	1352582
136	1367974
135	1354201
136	1362069
135	1353293
