FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
0	38	2486840
655	6558133	47360
665	6651653	2512280
649	6497068	2705160
0	54	65960
655	6559617	61320
0	57	321600
646	6469762	1727720
0	53	1804880
654	6545686	80480
664	6648675	2694480
656	6567535	2045040
661	6616064	55720
653	6531910	1455280
665	6653036	1875520
665	6653693	316480
651	6519893	72120
655	6555904	1877600
652	6521799	2067720
664	6647065	8329710
664	6649017	47280
664	6646595	2012800
665	6651410	2181560
0	44	2084680
662	6627555	39080
665	6653745	1440800
665	6655613	2356440
664	6649223	0
665	6653593	964480
664	6644680	1905960
665	6657708	2210760
664	6646858	1824400
664	6642287	1641040
652	6522358	53560
654	6547259	2414440
663	6632091	1890040
655	6550216	2335960
651	6514876	5823850
665	6651511	1945640
647	6471944	1911080
666	6662055	0
652	6528881	2417320
663	6637652	2703480
655	6551718	2741040
665	6651740	1741600
666	6662498	2945400
665	6651096	2366800
664	6649377	2108480
665	6658345	0
656	6564567	1586960
665	6653783	1920240
665	6651945	1565920
654	6548010	2169520
662	6623459	2419120
652	6527651	2023320
665	6657083	0
666	6667116	2403480
654	6541407	2591840
0	57	1574120
665	6658002	2377280
651	6519707	1455240
664	6647208	1834520
665	6650483	228200
0	45	2281920
647	6471586	66520
664	6649180	2187600
647	6479556	1488840
654	6548996	1863040
652	6526475	2088080
666	6665500	1804880
654	6543449	2353680
665	6656373	2183160
646	6469162	2145520
0	51	0
654	6543318	0
0	29	1020680
665	6658511	2760440
653	6532670	0
0	514	1554200
651	6519994	1521800
660	6608652	1868560
663	6636648	1833000
651	6518045	1540640
665	6651350	2232680
663	6635380	2087559
0	41	2197240
664	6647157	43760
665	6652359	66240
665	6653158	4344400
665	6652103	2567080
0	40	3447640
0	48	1775880
655	6553186	54720
0	50	2546280
655	6552162	0
654	6549460	2239880
0	51	2216600
662	6621935	2167960
647	6470657	2268440
666	6660876	17682240
