CpuTime (ms)	CpuTime (ticks)
33313	333135026
33318	333185776
33325	333253383
133090	1330906583
132994	1329945924
131	1319017
132964	1329648985
133026	1330268622
133039	1330393441
33294	332949866
33294	332942827
33286	332861320
132945	1329456236
3	30590
132943	1329436635
33269	332695308
132918	1329189975
132908	1329084258
132944	1329449330
33289	332898187
8340	83400852
8341	83419117
133023	1330238164
33298	332988496
33281	332819565
131	1318571
133050	1330506915
133012	1330122849
33285	332852272
8340	83403899
33290	332900747
133016	1330165570
525	5253618
33296	332963416
133084	1330849846
526	5262686
2090	20909595
133057	1330576902
131	1318310
133028	1330286080
133058	1330585704
33285	332858229
33287	332878121
33289	332894895
132990	1329908018
33284	332848647
33306	333061192
33295	332952077
8340	83405589
8339	83398273
132	1321999
133012	1330124509
33302	333023362
8341	83419811
8340	83407617
33296	332965401
525	5251620
133002	1330024748
133012	1330127089
133024	1330247722
133001	1330015746
33298	332989547
133028	1330286977
133028	1330284185
33286	332862609
33292	332925378
2090	20905498
132992	1329928004
525	5255399
33291	332919183
133013	1330133086
133002	1330025142
33281	332819318
525	5252187
33283	332833592
8338	83387503
8338	83384902
132998	1329987148
133006	1330064520
133011	1330116664
132987	1329874514
132997	1329970336
132999	1329999756
8339	83392172
8340	83407982
133007	1330078332
133017	1330175813
8344	83446852
132982	1329829235
8337	83378545
2091	20918408
132978	1329788670
134292	1342926738
132983	1329837125
132	1320427
132994	1329941027
133007	1330070442
133006	1330065357
133009	1330094622
133005	1330057261
