FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
11	115322	538640
15	158296	531760
11	112086	67480
15	157374	569800
16	160246	61640
16	160634	542920
15	158947	57840
15	159385	572520
16	161594	60440
20	206666	60440
19	194969	59600
15	159160	30560
15	159967	38240
16	160926	492720
15	158867	54280
20	200809	53760
16	161915	51600
20	202688	61640
21	210373	61960
20	206604	63320
20	200312	64800
20	207724	58920
9	98167	59240
20	202382	60960
20	201311	67440
9	91283	87640
10	105896	551720
0	47	50080
9	98174	55720
15	158710	543480
20	204859	547760
9	98842	57400
15	159728	1086040
19	198912	60040
10	100193	57200
20	202047	522840
20	201302	61040
15	159832	549080
16	164750	62960
20	204594	43880
11	113936	47160
15	159312	43440
15	156175	555840
19	197480	45760
19	198816	43200
16	162717	72440
20	201355	41320
20	201058	73760
9	91784	39200
20	200826	560200
15	158657	213680
20	201658	33320
15	158811	70760
20	202128	525600
20	202855	53760
15	158575	41400
11	117614	56680
11	113328	48800
11	114081	10760
0	10	528160
15	158821	47680
20	201336	51760
20	204282	64519
20	200590	84360
20	204703	48560
15	156838	42440
20	201945	38080
11	117003	666120
15	158377	41360
19	199601	65000
20	207365	1111120
20	201231	484600
0	12	63880
0	238	32640
20	208550	69320
20	201187	67800
16	168905	68200
20	205839	58080
16	165186	81600
16	163260	81560
16	161461	48800
20	201052	62560
20	203900	56960
11	115637	50880
20	202924	65800
10	103363	531440
20	207662	685120
20	201196	501880
9	96120	62560
20	203645	720320
19	195444	44760
20	203332	66640
20	201301	94240
20	202434	49560
16	161552	551560
16	161442	502040
16	165088	71720
20	201445	83040
15	158042	81280
9	96570	16329080
