FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
18	189584	633320
98	989169	1313360
99	992779	1155040
0	50	660160
0	67	1116840
0	51	1155600
0	67	1249440
0	45	0
0	51	622640
19	198062	613800
19	196392	1123600
18	189422	1181440
19	194447	2100800
98	989021	1212720
0	74	38120
19	199341	1104280
0	60	1151240
19	194505	1137040
99	996887	1842880
99	990475	1126040
19	191881	1123440
0	45	1221680
99	990334	1127840
99	992096	1693560
98	988894	52680
19	191801	1109680
0	66	1154240
0	50	1148040
19	197727	1122080
0	42	1752240
0	49	1109240
19	198381	1137000
0	47	1120960
0	40	1131960
0	68	1189160
0	40	1091600
19	196235	1769080
99	995315	576680
19	197233	1159120
0	44	49680
19	190594	1757760
99	994268	68920
0	63	1116120
0	51	1086480
0	28	1755160
99	994092	61080
99	992567	51720
0	36	615440
99	995092	1130120
19	191167	2339800
0	37	1134280
99	992544	1134680
19	194390	1316120
99	994820	1051840
19	197235	612840
99	992002	1148280
19	192400	1136800
19	191624	1712600
98	988718	1096360
19	193729	2452240
19	190953	1109240
0	58	1760800
0	256	609880
0	53	1125840
19	195022	1641760
98	989060	1119960
99	990436	569640
0	66	1291400
0	48	1075600
0	47	1112160
0	48	1138000
0	49	1131120
19	195565	569600
19	197566	1819160
0	44	1121200
99	993289	1747680
0	43	1162960
0	43	1133280
0	53	1077440
99	997165	1773680
0	39	1105560
19	193522	1173800
19	193279	1117600
19	195755	598400
17	176619	0
0	49	1121360
19	190545	1698480
19	194592	1140160
99	990535	1148880
19	192525	1703680
98	988758	2448120
19	193095	2540360
19	192278	1116120
19	199048	1130040
19	193682	2819360
0	53	1107160
99	991402	1217880
19	193723	1725680
19	190954	2484680
98	988503	16330760
