CpuTime (ms)	CpuTime (ticks)
1	19224
7	79313
1	17154
1	17112
7	75426
7	79414
1	17285
1	17091
1	17052
7	75246
1	17122
7	75241
7	75854
1	17644
7	75226
7	75282
7	75364
1	17045
7	75331
1	17081
7	75415
1	17132
1	17106
1	17314
7	75617
7	75655
7	75665
1	17329
1	17243
1	17345
1	17798
1	17374
1	17272
1	17339
7	75775
1	17367
7	75779
7	75990
7	75594
1	17338
7	75586
1	17360
1	17283
1	17328
1	17309
1	17339
1	17727
1	17348
7	75604
1	17337
1	17328
7	75689
7	75509
7	75659
7	75542
1	17244
1	17310
1	17266
1	17288
7	76028
7	75904
7	75880
7	75589
7	77483
7	76882
7	76430
1	17441
1	17273
1	17259
1	17266
1	17279
1	17257
7	76029
7	75530
7	75547
8	81829
7	75742
7	75680
7	75908
1	17374
1	17318
1	17400
7	75529
7	75689
7	75543
7	75612
1	17302
1	17317
1	17243
1	17314
1	17314
7	75584
7	75770
7	75491
7	75668
1	17301
1	17440
1	17298
7	75557
7	75672
