CpuTime (ms)	CpuTime (ticks)
29	293441
23	231614
22	228944
22	227742
22	229066
23	230592
22	226785
22	228949
22	228373
22	228135
22	228363
22	227654
22	228338
22	229183
22	226983
22	228286
22	228896
22	226872
22	228238
22	228254
22	229496
22	228023
22	226794
22	227746
22	227143
22	228177
22	228180
22	228286
22	227218
22	227539
22	228881
22	227742
22	228289
22	229144
22	228262
22	227239
22	228316
22	228356
22	228843
22	227299
22	227618
22	227694
22	227087
22	227037
22	228437
22	227457
22	228994
22	229904
22	227494
22	228362
22	229729
22	227323
22	228177
22	228233
22	229384
22	227784
22	228814
22	227414
22	229088
22	226959
22	228707
22	227993
22	227779
22	227132
22	229144
22	227687
22	226852
22	226742
22	227625
22	228252
22	227791
22	226860
22	229299
22	228667
22	227372
22	229219
22	228807
22	228026
22	227840
22	227292
22	228302
22	229004
22	227279
22	227824
22	228458
22	227528
22	227671
23	230028
22	227295
22	228589
22	227804
22	226981
22	227847
22	227692
22	227555
22	229418
22	227772
22	228165
22	227016
22	227163
