FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
0	30	20640
0	30	18320
0	26	0
0	25	0
0	25	21280
0	24	21600
0	10	0
0	19	0
0	2479	0
0	22	20200
0	17	29840
0	36	27720
0	21	0
0	2340	0
0	2536	0
0	29	635720
0	25	658800
0	36	682600
0	24	0
0	26	0
0	21	26520
0	17	0
0	20	0
0	28	668120
0	24	0
0	21	450000
0	48	712320
0	15	0
0	31	0
0	27	0
0	34	26640
0	26	26560
0	33	704080
0	26	0
0	21	0
0	22	653400
0	17	680360
0	26	697080
0	30	0
0	19	0
0	19	463200
0	21	0
0	22	0
0	17	920640
0	15	0
0	18	458960
0	13	466200
0	33	462960
0	39	0
0	30	457960
0	29	464760
0	12	453520
0	11	0
0	12	464760
0	12	0
0	10	0
0	1355	0
0	12	0
0	13	0
0	18	0
0	17	26520
0	13	466160
0	13	454120
0	17	460360
0	43	466600
0	27	21760
0	28	454960
0	25	0
0	33	0
0	12	461120
0	32	461920
0	29	0
0	36	0
0	39	451720
0	9	0
0	13	0
0	16	464600
0	14	469800
0	30	0
0	23	464800
0	10	0
0	13	0
0	27	0
0	29	465120
0	29	0
0	32	29840
0	32	461720
0	24	470160
0	26	468040
0	24	460640
0	32	464240
0	29	0
0	15	30440
0	29	472320
0	25	461640
0	26	0
0	14	35320
0	28	497840
0	12	0
0	8561	16259480
