FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
0	11	71440
0	21	50560
1	15791	72320
0	13	48520
1	14704	82120
1	16018	44200
0	24	63280
1	16606	46160
1	11582	47280
0	16	47440
1	13480	47640
0	28	43400
1	14696	65519
0	26	46880
0	23	70680
1	19915	51840
0	21	46640
1	14536	46080
0	12	72280
0	27	47520
0	28	76520
1	19207	68760
0	26	46160
1	17336	80600
1	18267	46480
0	12	47200
0	9	81200
0	12	80640
1	15273	79400
1	17496	71920
0	27	52720
0	14	80840
2	20843	448320
1	19468	81320
1	18629	486720
2	20337	46680
0	12	48200
0	14	448000
1	19954	66240
0	96	46400
1	14174	47120
0	11	76800
0	25	73680
1	18547	496720
0	13	71680
1	18891	37920
0	23	47720
0	21	43920
0	16	46840
0	19	47080
1	15829	49400
0	15	44840
0	13	80480
0	11	46600
1	10133	55200
0	11	95160
0	16	74040
0	12	55840
0	13	55080
0	25	73920
1	14736	72800
0	15	514680
0	14	72320
1	15416	56080
0	12	72560
0	22	72080
0	21	92640
0	12	53320
0	12	46600
0	12	49680
1	15916	55200
0	20	55400
0	11	73440
0	12	72960
1	16729	65600
0	24	55200
0	36	55120
0	19	71960
0	13	45080
0	12	45840
0	12	45960
0	12	46520
0	33	46000
0	16	46240
0	23	46440
0	20	53240
0	15	54960
0	13	48000
1	11368	0
0	16	76800
0	10	444280
0	12	71680
0	11	61920
1	17136	65440
0	21	69120
0	18	72040
0	22	62880
0	27	492480
0	24	51400
1	13428	0
