CpuTime (ms)	CpuTime (ticks)
8	83315
7	76167
7	76892
7	74796
7	71245
7	71063
7	71075
7	70775
7	70996
7	71045
7	70763
7	71258
3	32905
7	71136
3	32808
3	32816
7	70900
7	70953
7	71401
3	32801
7	70839
7	70849
7	70943
3	32933
7	71094
7	71228
7	71094
7	71013
7	71090
7	70982
7	71008
3	32954
3	32968
7	71173
7	70922
7	71059
7	71113
7	71020
7	71294
7	71082
3	32971
3	32953
7	71337
7	71323
7	71276
7	71310
7	71213
7	71718
7	71424
7	71356
7	71322
3	32956
7	71411
7	71431
7	71015
7	71296
7	71159
7	71180
7	71007
7	71204
7	71200
7	71191
7	71526
3	32930
7	71506
3	33109
7	71311
7	71599
3	33423
3	33057
7	71380
7	71268
3	33082
7	71241
7	71241
7	71651
7	71109
7	71203
7	71454
7	71227
7	71244
7	72691
7	72079
7	71533
3	33158
7	71344
7	71186
7	71339
7	70968
7	71212
7	70917
3	33129
7	71229
7	71228
7	71187
7	71313
7	71057
7	71065
7	71257
7	71503
