FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
6683	66834489	2537400
7211	72113189	2469840
6677	66771234	1949960
7211	72119978	1932680
7204	72046294	2343400
7201	72019950	2362240
7200	72002709	43480
7216	72164896	1953080
7200	72003085	1026000
9042	90422637	61760
9045	90456428	4235280
7196	71967229	4605480
7211	72113702	64920
7204	72045767	2731760
7200	72005345	1888960
9054	90543256	1836440
7215	72158104	1722480
9051	90510506	2013999
9053	90530480	1776840
9053	90536441	2003920
9054	90542730	2195320
9059	90597514	2373640
6513	65139194	32360
9055	90557461	1665000
9055	90551667	1795400
6593	65933238	1829560
6617	66175659	2143880
9049	90499321	2051640
6613	66130607	1776160
7207	72078066	57240
9067	90675361	2035040
6626	66267927	2098680
7213	72133732	37480
8973	89733544	2396320
6622	66222794	4557160
8957	89570743	30320
8972	89723849	2002440
7202	72021528	2169520
7204	72047060	2061760
8977	89775289	2438320
6689	66899441	1993320
7207	72078016	2059800
7212	72122430	1953520
8979	89797869	2074840
8968	89684592	38920
7208	72087615	2037480
8981	89812470	2242200
8973	89735985	2561920
6518	65183892	2182640
8972	89721482	71760
7215	72153164	59520
8969	89696409	72400
7199	71995809	2082120
8994	89946130	1776440
8988	89884325	3185640
7201	72014003	2496160
6681	66818413	3747560
6690	66902201	4610240
6679	66799583	1716080
6589	65898549	1647120
7214	72145718	1775400
8976	89760172	1803120
8970	89703021	1536840
8974	89741070	2537240
8973	89733195	2386200
7191	71915853	2294920
8981	89819041	2083559
6681	66813431	2218000
7207	72073605	1716080
8966	89669015	1707400
8977	89771395	0
8971	89715652	2361960
6595	65955238	2135560
7199	71991955	2379920
8967	89674395	2600480
8968	89685252	41920
7206	72069989	2697400
8979	89791678	1017760
0	48	58080
7210	72106851	4131719
7198	71982556	2305720
8973	89731959	2482520
0	54	2439400
6671	66719191	2566320
0	37	2638320
6618	66183508	2012840
8949	89498458	3084560
8936	89360605	5977660
6579	65796818	1998680
8961	89619217	2469280
8965	89653016	2257160
8965	89650703	1986760
8961	89618082	2062479
8967	89673164	1874920
7206	72067880	2122600
7192	71926229	1690480
7193	71930858	1685560
8961	89612229	1633360
7209	72091301	1580800
0	38	17491520
