FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
6728	67284614	2330520
7101	71015635	2049680
7098	70985987	1649480
7108	71080199	2029040
6729	67295338	2420560
6725	67257613	1831520
6726	67264312	1713200
7094	70946865	79320
6716	67169625	2050840
6732	67321859	2016960
6729	67295959	62000
6724	67245568	54680
6734	67347750	2119000
7093	70930533	1671880
6723	67233839	2111640
6735	67355135	1790960
6738	67386568	2059159
6729	67298533	2055559
7099	70992839	1722880
7102	71023118	46880
6746	67464269	1776960
7111	71111790	2048600
7096	70963533	2404960
7106	71063567	43240
7111	71113800	2288240
6713	67133905	3384520
7053	70535847	47880
6731	67310099	2083000
6732	67328242	1645400
6732	67321809	2268640
7105	71053824	2066479
6716	67167598	1624560
6737	67379207	42960
6741	67414367	2672920
6727	67272925	1700440
6723	67230290	2008840
6737	67371811	1723680
7104	71043650	1804800
6728	67283432	2003120
7107	71071105	2318840
6723	67235192	1748600
7109	71093669	38280
6737	67375418	1707240
7108	71085221	2226120
6728	67287983	0
7101	71012591	2520000
7128	71284919	2008760
7101	71010368	2201720
7094	70948028	1852920
6735	67355590	1622000
7112	71122660	3255240
7080	70805263	3235560
6727	67279279	3930600
7108	71086795	1618680
0	32	2326320
7091	70915929	1982360
6730	67303073	1948280
6728	67289050	1702120
7095	70958619	2314440
6738	67384272	1750440
6741	67412533	1799360
7104	71044717	93640
0	47	1669600
7099	70998810	1726400
6739	67397558	1611320
7100	71006742	1813600
7106	71068744	1940560
6728	67284887	1621200
7104	71040309	1953480
6740	67402046	1686760
7107	71075833	1711560
6711	67116525	1611800
0	69	1961680
6735	67354439	1697560
7101	71010565	1722360
7100	71008228	1703720
7093	70934756	2005320
6730	67304018	3293080
6722	67229929	25960
7110	71107214	1751560
7090	70906825	56520
6727	67273038	30960
6737	67377457	1735080
6684	66840545	1855720
6733	67334976	51680
7055	70558400	2319280
6715	67158275	1742320
6714	67140042	1705680
7062	70622499	2377040
6735	67351381	0
7105	71050038	1794200
6731	67319037	2297680
6735	67357298	2199720
6739	67398465	57360
0	68	1623280
6722	67226686	1700240
7090	70902974	2183280
6731	67313972	1656600
6733	67339083	2272080
7096	70962683	18778560
