CpuTime (ms)	CpuTime (ticks)
103161	1031615789
103117	1031177823
102909	1029091317
101658	1016585979
102618	1026185383
102439	1024393312
101474	1014744160
101853	1018532014
102281	1022817302
100610	1006107371
102395	1023959527
101801	1018011072
102243	1022432982
101174	1011747310
101486	1014869925
101659	1016598683
101355	1013559602
101785	1017850952
101734	1017341728
101833	1018339242
101441	1014411672
102440	1024407237
101868	1018680181
100218	1002188928
102224	1022244824
100705	1007052306
101605	1016052723
101415	1014153867
100793	1007934785
102270	1022702863
101402	1014028365
100451	1004510759
100688	1006884590
102184	1021846160
101329	1013291363
101575	1015758897
101606	1016066533
101418	1014186632
101503	1015035940
101559	1015591516
101869	1018699512
101967	1019677802
100820	1008202476
100147	1001472405
101623	1016236246
101630	1016308422
100660	1006605685
101036	1010362930
102024	1020240918
101184	1011844576
101171	1011717119
101629	1016296476
100553	1005539793
101539	1015393036
100865	1008658300
100568	1005684787
101508	1015087104
101179	1011790389
100063	1000639584
100548	1005489660
101167	1011679870
101576	1015765692
101488	1014886456
101006	1010066358
101849	1018497103
101534	1015343641
100572	1005723980
101378	1013786249
100261	1002611586
102108	1021085302
101118	1011188610
101119	1011198765
101427	1014276664
100888	1008888706
101292	1012929869
102077	1020775646
101682	1016822764
101343	1013437194
100838	1008387732
101365	1013657063
100862	1008621817
101376	1013767785
101307	1013079663
100728	1007289247
101205	1012050754
100950	1009501831
101121	1011212795
101009	1010091381
101614	1016148063
100416	1004169627
100057	1000574431
102733	1027338067
102340	1023402528
102903	1029037095
102267	1022674177
102998	1029986628
102648	1026486001
102687	1026870617
101803	1018037749
102948	1029486679
