FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
1715	17158598	1574360
1723	17238205	1393440
1716	17164859	1390960
1724	17247611	1500160
1718	17187770	52720
1717	17175674	1212640
1716	17167076	1875400
1719	17195109	12160
1716	17164162	62320
1714	17145067	40840
1715	17158510	33040
1712	17123939	1370720
1718	17181157	1473280
1714	17143750	1420600
1710	17109573	1735800
1717	17179954	1266560
1725	17252393	1447240
1715	17153746	33360
1716	17163407	65280
1717	17177772	41000
1712	17121140	93200
1724	17245355	3621360
1691	16918131	2915080
1717	17170632	3688840
1710	17100317	44640
1708	17084794	47800
1713	17135587	1672880
1716	17160204	60160
1716	17168699	36200
1716	17165146	1663920
1710	17105249	1785640
1709	17090703	1499000
1719	17190041	1778920
1718	17187705	1787280
1717	17173318	1635520
1697	16975589	1716280
1716	17166224	1990400
1717	17173955	1860760
1719	17191590	1698760
1720	17200372	1495720
1718	17188433	1475960
1720	17208009	2066920
1722	17224466	1606920
1726	17262911	1600120
1709	17091418	47040
1718	17187485	36240
1725	17252241	1663240
1717	17179065	1360760
1689	16895160	1986080
1719	17190030	1336920
1724	17245570	1427880
1689	16893925	1311840
1708	17083115	1322440
1716	17165663	1140880
1716	17165201	1278520
1708	17080376	2778890
1714	17148593	1303400
1719	17191240	1401280
1718	17184757	1297920
1717	17177046	1277840
1722	17223107	49240
1720	17204326	1282200
1713	17131095	35200
1720	17208734	1413640
1721	17215031	61360
1717	17172267	1378720
1718	17181516	1158800
1705	17056368	1129720
1716	17166175	1337680
1712	17127354	1246160
1720	17207875	1154760
1715	17159358	1360280
1712	17127186	1280000
1711	17118841	1238320
1712	17126305	1911360
1708	17087469	1113000
1717	17171185	1323760
1716	17162531	1326320
1718	17182707	1153640
1725	17251393	1453360
1701	17018249	1242960
1713	17139170	1512880
1725	17258582	1146560
1709	17091206	1330840
1717	17171371	1381880
1719	17192053	1168000
1692	16923910	44960
1705	17052563	1339640
1715	17154434	1573760
1719	17194801	1300400
1720	17200026	1350840
1719	17192767	1551600
1720	17207172	1343560
1722	17224125	1178400
1725	17254931	1162760
1707	17074528	1282080
1710	17108328	1344960
1719	17193840	1335560
1722	17220726	1177400
0	73	17334880
