FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
6594	65948161	1842680
6600	66006028	1991640
6597	65976969	40080
6604	66045237	2339960
6598	65982347	2441560
6599	65994441	2291720
6597	65979431	2372280
6600	66005884	1959240
6596	65963076	2333440
6594	65945888	1728920
6596	65961167	5748250
6588	65889376	1782960
6598	65985301	1071400
6591	65918009	2073119
6593	65933250	3447760
6602	66023829	8503240
6607	66079375	1754640
6607	66076711	2099720
6593	65931002	2116880
6596	65964556	1636120
6591	65915235	5377940
6600	66005245	2159600
6545	65458873	5257960
6598	65986888	2096880
6610	66108467	1831720
6587	65874294	1889960
6577	65778064	1836320
6593	65938964	2215240
6583	65838110	1801440
6597	65970300	2307720
6589	65891032	1817000
6590	65908742	5608930
6596	65966380	1708880
6595	65958978	1766800
6594	65945350	1670480
6582	65826174	1725720
6594	65945571	68600
6592	65923195	2107360
6596	65962235	55680
6597	65978178	2279120
6595	65953779	12560
6595	65956284	37080
6599	65993695	2173960
6599	65991790	3757000
6586	65865517	1490320
6612	66123936	2051040
6605	66050016	1402040
6600	66006010	1493080
6511	65117095	1495440
6600	66003037	1440080
6607	66072089	1709280
6586	65864920	1999360
6567	65672590	1711000
6605	66053280	1773200
6597	65979373	2206960
6597	65972514	1468120
6591	65911732	1426800
6600	66000733	1756560
6599	65992363	1613520
6590	65903307	1720680
6599	65996081	1466360
6601	66017407	1577480
6597	65972254	1480760
6600	66005657	1589560
6603	66031771	1510320
6595	65952996	1553960
6602	66021761	1767360
6594	65941383	1899080
6595	65953393	1562200
6600	66002006	60840
6603	66034280	2944200
6597	65972370	3587320
6594	65942859	1513160
6598	65984753	88880
6597	65978865	1602000
6592	65927783	2083759
6598	65988306	1582240
6599	65993712	1570440
6604	66041129	1672840
6601	66014150	2365240
6587	65876008	1470320
6595	65954135	1540280
6604	66040425	1992920
6588	65886743	48680
0	43	1907800
6596	65961518	1644320
6588	65885251	1968480
6589	65891386	1829760
6592	65925834	1544120
6604	66044253	1429200
6601	66016677	2355760
6600	66002856	1638960
6607	66078763	1595000
6606	66060376	1582440
6609	66090158	1490840
6602	66024669	1786280
6600	66002201	1616480
6601	66010340	1548640
6614	66146580	1602880
6598	65981416	16890520
