FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
6537	65373092	1872160
6528	65284109	1486880
6626	66264944	1573160
6543	65434847	1579440
6629	66290879	1602440
6546	65468989	1755680
6536	65364633	1844240
6533	65336059	1851640
6549	65496424	1925520
6531	65312342	1529760
6537	65379359	2045880
6624	66243087	1878840
6633	66334426	1607160
6528	65287132	2286040
6557	65577158	3395080
6529	65297222	4263160
6533	65338758	1607600
6562	65621784	85680
6531	65317470	1973960
6543	65432321	2329880
6588	65886139	2331200
6624	66244182	2845480
6537	65371008	1921400
6564	65646568	2314400
6588	65887807	1918760
6529	65294682	1929040
6564	65645717	4429550
6574	65747771	1826920
6550	65501300	1821560
6613	66139848	1889800
6555	65555920	1898040
6564	65646823	1803040
6632	66325958	1920320
6526	65260668	4159360
6533	65331167	2206800
6589	65896178	70320
6539	65393494	3861620
6527	65272755	57920
6546	65461546	38120
6533	65333398	2195520
6566	65667522	1866720
6542	65428820	3383680
6631	66311913	3823360
6590	65903432	3675200
6558	65587289	61760
6555	65550122	1618920
6550	65502046	2485080
6610	66102813	1592480
6550	65504225	2364480
6544	65441075	1786040
6584	65843800	1846800
6562	65623841	1948440
6533	65331495	1908640
6565	65650187	1811240
6632	66327350	31759
6542	65429263	1779280
6566	65665715	1744080
6535	65350662	1743520
6543	65437285	1756280
6631	66316791	4090340
6543	65432065	2096320
6558	65581980	38760
6545	65454600	2038920
6618	66185048	1682440
6578	65785517	2269400
6534	65340084	1872040
6553	65534259	1861080
6544	65445426	1766200
6546	65463309	2347240
6558	65582765	2084680
6540	65409182	3578600
6533	65333568	4624640
6542	65421754	1947640
0	41	2190720
6528	65284245	2681600
6535	65356229	2199400
6536	65365782	5069710
6589	65892470	2253720
6554	65546575	4387900
6531	65310377	4539040
6569	65694565	2615240
6634	66342820	2124360
6614	66144180	1822960
6567	65670092	1628640
6535	65353744	42680
6545	65455883	1806040
6644	66440130	4583680
6543	65430227	2193520
6626	66267350	1929920
6554	65546366	2168560
6544	65448507	2183640
6645	66456512	2123120
6560	65606930	2730800
6548	65483090	1811280
6549	65499337	2032480
6641	66417082	1750520
6536	65367124	1753120
6611	66112160	1742160
6536	65368430	1718960
6555	65559304	0
